Time Frame,Lifetouch Heart Rate
0 days 01:34:00,201.94744518214486
0 days 01:35:00,202.94744518214486
0 days 01:36:00,203.94744518214486
0 days 01:37:00,204.94744518214486
0 days 01:38:00,205.94744518214486
0 days 01:39:00,206.94744518214486
0 days 01:40:00,207.94744518214486
0 days 01:41:00,208.94744518214486
0 days 01:42:00,209.94744518214486
0 days 01:43:00,210.94744518214486
0 days 01:44:00,211.94744518214486
0 days 01:45:00,212.94744518214486
0 days 01:46:00,213.94744518214486
0 days 01:47:00,214.94744518214486
0 days 01:48:00,215.94744518214486
0 days 01:49:00,216.94744518214486
0 days 01:50:00,217.94744518214486
0 days 01:51:00,218.94744518214486
0 days 01:52:00,219.94744518214486
0 days 01:53:00,220.94744518214486
0 days 01:54:00,221.94744518214486
0 days 01:55:00,222.94744518214486
0 days 01:56:00,223.94744518214486
0 days 01:57:00,224.94744518214486
0 days 01:58:00,225.94744518214486
0 days 01:59:00,226.94744518214486
0 days 02:00:00,227.94744518214486
0 days 02:01:00,228.94744518214486
0 days 02:02:00,229.94744518214486
0 days 02:03:00,230.94744518214486
0 days 02:04:00,231.94744518214486
0 days 02:05:00,232.94744518214486
0 days 02:06:00,233.94744518214486
0 days 02:07:00,234.94744518214486
0 days 02:08:00,235.94744518214486
0 days 02:09:00,236.94744518214486
0 days 02:10:00,237.94744518214486
0 days 02:11:00,238.94744518214486
0 days 02:12:00,239.94744518214486
0 days 02:13:00,240.94744518214486
0 days 02:14:00,241.94744518214486
0 days 02:15:00,242.94744518214486
0 days 02:16:00,243.94744518214486
0 days 02:17:00,244.94744518214486
0 days 02:18:00,245.94744518214486
0 days 02:19:00,246.94744518214486
0 days 02:20:00,247.94744518214486
0 days 02:21:00,248.94744518214486
0 days 02:22:00,249.94744518214486
0 days 02:23:00,250.94744518214486
0 days 02:24:00,251.94744518214486
0 days 02:25:00,252.94744518214486
0 days 02:26:00,253.94744518214486
0 days 02:27:00,254.94744518214486
0 days 02:28:00,255.94744518214486
0 days 02:29:00,256.94744518214486
0 days 02:30:00,257.94744518214486
0 days 02:31:00,258.94744518214486
0 days 02:32:00,259.94744518214486
0 days 02:33:00,260.94744518214486
0 days 02:34:00,261.94744518214486
0 days 02:35:00,262.94744518214486
0 days 02:36:00,263.94744518214486
0 days 02:37:00,264.94744518214486
0 days 02:38:00,265.94744518214486
0 days 02:39:00,266.94744518214486
0 days 02:40:00,267.94744518214486
0 days 02:41:00,268.94744518214486
0 days 02:42:00,269.94744518214486
0 days 02:43:00,270.94744518214486
0 days 02:44:00,271.94744518214486
0 days 02:45:00,272.94744518214486
0 days 02:46:00,273.94744518214486
0 days 02:47:00,274.94744518214486
0 days 02:48:00,275.94744518214486
0 days 02:49:00,276.94744518214486
0 days 02:50:00,277.94744518214486
0 days 02:51:00,278.94744518214486
0 days 02:52:00,279.94744518214486
0 days 02:53:00,280.94744518214486
0 days 02:54:00,281.94744518214486
0 days 02:55:00,282.94744518214486
0 days 02:56:00,283.94744518214486
0 days 02:57:00,284.94744518214486
0 days 02:58:00,285.94744518214486
0 days 02:59:00,286.94744518214486
0 days 03:00:00,287.94744518214486
0 days 03:01:00,288.94744518214486
0 days 03:02:00,289.94744518214486
0 days 03:03:00,290.94744518214486
0 days 03:04:00,291.94744518214486
0 days 03:05:00,292.94744518214486
0 days 03:06:00,293.94744518214486
0 days 03:07:00,294.94744518214486
0 days 03:08:00,295.94744518214486
0 days 03:09:00,296.94744518214486
0 days 03:10:00,297.94744518214486
0 days 03:11:00,298.94744518214486
0 days 03:12:00,299.94744518214486
0 days 03:13:00,300.94744518214486
0 days 03:14:00,301.94744518214486
0 days 03:15:00,302.94744518214486
0 days 03:16:00,303.94744518214486
0 days 03:17:00,304.94744518214486
0 days 03:18:00,305.94744518214486
0 days 03:19:00,306.94744518214486
0 days 03:20:00,307.94744518214486
0 days 03:21:00,308.94744518214486
0 days 03:22:00,309.94744518214486
0 days 03:23:00,310.94744518214486
0 days 03:24:00,311.94744518214486
0 days 03:25:00,312.94744518214486
0 days 03:26:00,313.94744518214486
0 days 03:27:00,314.94744518214486
0 days 03:28:00,315.94744518214486
0 days 03:29:00,316.94744518214486
0 days 03:30:00,317.94744518214486
0 days 03:31:00,318.94744518214486
0 days 03:32:00,319.94744518214486
0 days 03:33:00,320.94744518214486
0 days 03:34:00,321.94744518214486
0 days 03:35:00,322.94744518214486
0 days 03:36:00,323.94744518214486
0 days 03:37:00,324.94744518214486
0 days 03:38:00,325.94744518214486
0 days 03:39:00,326.94744518214486
0 days 03:40:00,327.94744518214486
0 days 03:41:00,328.94744518214486
0 days 03:42:00,329.94744518214486
0 days 03:43:00,330.94744518214486
0 days 03:44:00,331.94744518214486
0 days 03:45:00,332.94744518214486
0 days 03:46:00,333.94744518214486
0 days 03:47:00,334.94744518214486
0 days 03:48:00,335.94744518214486
0 days 03:49:00,336.94744518214486
0 days 03:50:00,337.94744518214486
0 days 03:51:00,338.94744518214486
0 days 03:52:00,339.94744518214486
0 days 03:53:00,340.94744518214486
